Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
2013-14,2014-03-22T00:00:00Z,Newcastle,Crystal Palace,1,0,H,0.0,0.0,D,L Probert,21.0,8.0,8.0,1.0,9.0,5.0,4.0,8.0,0.0,1.0,0.0,0.0
2013-14,2014-03-22T00:00:00Z,Norwich,Sunderland,2,0,H,2.0,0.0,H,P Dowd,14.0,10.0,8.0,2.0,8.0,5.0,16.0,20.0,2.0,4.0,0.0,1.0
2013-14,2014-03-22T00:00:00Z,West Ham,Man United,0,2,A,0.0,2.0,A,L Mason,10.0,16.0,1.0,7.0,12.0,7.0,8.0,8.0,2.0,1.0,0.0,0.0
2013-14,2014-03-23T00:00:00Z,Aston Villa,Stoke,1,4,A,1.0,3.0,A,M Clattenburg,12.0,10.0,3.0,5.0,5.0,3.0,16.0,10.0,5.0,1.0,0.0,0.0
2013-14,2014-03-23T00:00:00Z,Tottenham,Southampton,3,2,H,1.0,2.0,A,A Taylor,15.0,12.0,6.0,4.0,7.0,3.0,9.0,9.0,1.0,2.0,0.0,0.0
2013-14,2014-03-25T00:00:00Z,Arsenal,Swansea,2,2,D,0.0,1.0,A,L Probert,13.0,8.0,4.0,2.0,7.0,0.0,11.0,12.0,0.0,1.0,0.0,0.0
2013-14,2014-03-25T00:00:00Z,Man United,Man City,0,3,A,0.0,1.0,A,M Oliver,10.0,13.0,4.0,4.0,5.0,8.0,12.0,8.0,2.0,2.0,0.0,0.0
2013-14,2014-03-25T00:00:00Z,Newcastle,Everton,0,3,A,0.0,1.0,A,L Mason,16.0,8.0,3.0,6.0,9.0,8.0,8.0,10.0,0.0,1.0,0.0,0.0
2013-14,2014-03-26T00:00:00Z,Liverpool,Sunderland,2,1,H,1.0,0.0,H,K Friend,21.0,12.0,7.0,4.0,3.0,4.0,5.0,15.0,0.0,2.0,0.0,0.0
2013-14,2014-03-26T00:00:00Z,West Ham,Hull,2,1,H,1.0,0.0,H,M Dean,9.0,10.0,3.0,3.0,4.0,5.0,12.0,9.0,0.0,1.0,0.0,1.0
2013-14,2014-03-29T00:00:00Z,Arsenal,Man City,1,1,D,0.0,1.0,A,M Dean,10.0,15.0,3.0,4.0,6.0,6.0,8.0,11.0,1.0,4.0,0.0,0.0
2013-14,2014-03-29T00:00:00Z,Crystal Palace,Chelsea,1,0,H,0.0,0.0,D,L Mason,14.0,21.0,4.0,2.0,2.0,13.0,10.0,4.0,4.0,1.0,0.0,0.0
2013-14,2014-03-29T00:00:00Z,Man United,Aston Villa,4,1,H,2.0,1.0,H,M Atkinson,9.0,10.0,6.0,1.0,0.0,5.0,10.0,16.0,2.0,4.0,0.0,0.0
2013-14,2014-03-29T00:00:00Z,Southampton,Newcastle,4,0,H,1.0,0.0,H,A Marriner,23.0,5.0,11.0,2.0,7.0,5.0,5.0,6.0,0.0,1.0,0.0,0.0
2013-14,2014-03-29T00:00:00Z,Stoke,Hull,1,0,H,0.0,0.0,D,N Swarbrick,15.0,5.0,3.0,3.0,8.0,1.0,9.0,9.0,2.0,0.0,0.0,0.0
2013-14,2014-03-29T00:00:00Z,Swansea,Norwich,3,0,H,2.0,0.0,H,J Moss,16.0,8.0,7.0,4.0,7.0,4.0,15.0,9.0,1.0,2.0,0.0,0.0
2013-14,2014-03-29T00:00:00Z,West Brom,Cardiff,3,3,D,2.0,1.0,H,M Oliver,16.0,11.0,6.0,5.0,4.0,1.0,12.0,13.0,1.0,1.0,0.0,0.0
2013-14,2014-03-30T00:00:00Z,Fulham,Everton,1,3,A,0.0,0.0,D,A Taylor,23.0,14.0,8.0,7.0,5.0,6.0,7.0,4.0,1.0,2.0,0.0,0.0
2013-14,2014-03-30T00:00:00Z,Liverpool,Tottenham,4,0,H,2.0,0.0,H,P Dowd,11.0,15.0,5.0,4.0,5.0,7.0,9.0,9.0,0.0,2.0,0.0,0.0
2013-14,2014-03-31T00:00:00Z,Sunderland,West Ham,1,2,A,0.0,1.0,A,H Webb,26.0,11.0,7.0,6.0,8.0,3.0,11.0,14.0,2.0,4.0,0.0,0.0
